,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ONE,run-13,0.0,0.0,0.018,0.037,0.065,0.101,0.142,0.192,0.24,0.297,0.359,0.409,0.484,0.539,0.615,0.68,0.73,0.798,0.828,0.887,0.919,0.946,0.968,0.992,0.999,0.996,0.987,0.978,0.947,0.917,0.883,0.845,0.783,0.722,0.671,0.609,0.548,0.484,0.42,0.361,0.298,0.236,0.189,0.134,0.099,0.062,0.037,0.018,0.006,0.001
ONE,run-14,0.0,0.002,0.016,0.036,0.062,0.102,0.152,0.186,0.238,0.298,0.357,0.42,0.48,0.552,0.596,0.675,0.734,0.789,0.837,0.885,0.914,0.951,0.979,0.991,1.0,1.0,0.993,0.975,0.95,0.919,0.877,0.837,0.784,0.73,0.672,0.616,0.552,0.48,0.427,0.34,0.297,0.235,0.186,0.137,0.103,0.077,0.035,0.016,0.008,0.001
ONE,run-15,0.003,0.005,0.018,0.037,0.064,0.101,0.139,0.193,0.236,0.306,0.358,0.428,0.478,0.549,0.596,0.681,0.736,0.785,0.836,0.883,0.922,0.952,0.975,0.988,0.998,1.0,0.997,0.97,0.948,0.923,0.887,0.832,0.787,0.726,0.672,0.605,0.548,0.476,0.418,0.359,0.295,0.252,0.185,0.139,0.097,0.067,0.037,0.013,0.008,0.001
ONE,run-16,0.001,0.007,0.015,0.043,0.069,0.097,0.146,0.185,0.238,0.29,0.36,0.431,0.478,0.541,0.613,0.67,0.739,0.783,0.851,0.888,0.919,0.954,0.97,0.989,1.0,0.999,0.989,0.979,0.953,0.918,0.883,0.831,0.779,0.719,0.673,0.614,0.557,0.482,0.417,0.362,0.289,0.24,0.192,0.138,0.096,0.061,0.03,0.012,0.005,0.0
ONE,run-17,0.0,0.002,0.02,0.042,0.067,0.093,0.141,0.187,0.243,0.305,0.353,0.419,0.486,0.547,0.608,0.671,0.738,0.782,0.833,0.877,0.917,0.952,0.968,1.0,1.0,0.997,0.993,0.976,0.95,0.916,0.882,0.831,0.786,0.734,0.67,0.611,0.55,0.482,0.426,0.359,0.307,0.241,0.181,0.143,0.108,0.066,0.037,0.022,0.008,0.003
ONE,run-18,0.001,0.004,0.016,0.033,0.061,0.105,0.131,0.188,0.243,0.294,0.359,0.416,0.485,0.537,0.608,0.675,0.726,0.794,0.831,0.875,0.918,0.951,0.976,0.991,1.0,1.0,0.987,0.977,0.947,0.919,0.89,0.842,0.793,0.727,0.674,0.604,0.533,0.48,0.417,0.363,0.305,0.24,0.189,0.142,0.104,0.056,0.036,0.016,0.007,0.004
ONE,run-19,0.0,0.004,0.018,0.039,0.063,0.1,0.141,0.187,0.25,0.296,0.356,0.41,0.485,0.546,0.613,0.666,0.738,0.792,0.834,0.874,0.922,0.952,0.979,0.995,0.996,1.0,0.987,0.982,0.95,0.917,0.878,0.834,0.789,0.734,0.673,0.613,0.542,0.486,0.418,0.355,0.299,0.237,0.182,0.137,0.098,0.068,0.037,0.014,0.001,0.0
ONE,run-20,0.002,0.002,0.015,0.04,0.063,0.11,0.139,0.195,0.243,0.302,0.356,0.416,0.493,0.548,0.614,0.674,0.72,0.774,0.844,0.87,0.918,0.953,0.972,0.991,1.0,0.996,0.998,0.977,0.955,0.91,0.891,0.833,0.784,0.741,0.672,0.607,0.553,0.478,0.414,0.352,0.301,0.247,0.194,0.14,0.099,0.068,0.038,0.018,0.006,0.0
ONE,mean,0.0005,0.0037000000000000006,0.0167,0.037250000000000005,0.06369999999999999,0.10005,0.14090000000000003,0.18814999999999998,0.24195000000000003,0.29889999999999994,0.35764999999999997,0.42135,0.48469999999999996,0.54695,0.6094000000000002,0.67495,0.7322,0.7874000000000001,0.8362999999999998,0.8799000000000001,0.9191,0.9497500000000001,0.9731500000000001,0.9906499999999999,0.9987999999999999,0.9970000000000001,0.9906499999999999,0.9764000000000002,0.9510499999999998,0.9182500000000001,0.8802,0.8362,0.78575,0.7297,0.6709500000000002,0.6104499999999999,0.5475000000000001,0.48315,0.4220499999999999,0.35625,0.29910000000000003,0.24035,0.18845,0.14045,0.10015000000000003,0.06495000000000002,0.03700000000000001,0.016650000000000005,0.004700000000000001,0.0010500000000000002
ONE,error,0.0007,0.0015299999999999997,0.0014999999999999998,0.0029000000000000015,0.0023300000000000026,0.002764999999999998,0.004389999999999993,0.0039650000000000015,0.003950000000000002,0.003989999999999999,0.0033850000000000048,0.006485000000000007,0.004600000000000002,0.004060000000000003,0.0047000000000000045,0.004760000000000003,0.004620000000000002,0.004600000000000004,0.00408999999999996,0.004609999999999992,0.003320000000000001,0.003274999999999989,0.003250000000000003,0.0029850000000000098,0.001460000000000028,0.0026000000000000133,0.0035500000000000032,0.0026000000000000025,0.0035549999999999913,0.003450000000000003,0.004320000000000002,0.003520000000000012,0.004124999999999995,0.004830000000000001,0.003269999999999956,0.0031600000000000126,0.004499999999999993,0.004450000000000004,0.004559999999999992,0.004150000000000001,0.004110000000000008,0.004855000000000007,0.003460000000000002,0.0033499999999999893,0.003180000000000003,0.0028549999999999995,0.0022000000000000023,0.0022150000000000004,0.0020599999999999993,0.00107
